MAE,RMSE,sMAPE,Horizon
6.307959040752305,7.280685503650352,125.34425838841754,H+1
6.3137110720716345,7.281489595944732,125.66740582285554,H+2
6.298479953293707,7.263867396433432,125.19197848456278,H+3
6.2890085027238944,7.253855167058143,124.81171773045405,H+4
6.265930615770078,7.230124962746715,123.93048314077662,H+5
6.275410049653563,7.238908856379641,124.28835596398284,H+6
6.2896873918495455,7.255645678665211,124.72445425937057,H+7
6.283863960919373,7.254466055557101,124.34331120856615,H+8
6.271805265658025,7.245901687745325,123.85787093957339,H+9
6.2301073720819256,7.210024232652262,122.1985445283185,H+10
6.209183975496746,7.189903978929286,121.40788038211234,H+11
6.188194801366149,7.166534716723209,120.64920732767139,H+12
6.134949152029215,7.115565706486911,118.66059206759918,H+13
6.128969051353525,7.108658844865855,118.45134679921294,H+14
6.110434002156213,7.090359216041786,117.76717004158854,H+15
6.079083332143059,7.061407844601071,116.62631778650527,H+16
6.0870762613304885,7.067424600587822,116.9201541450841,H+17
6.068894990978835,7.0497392547045346,116.25614642237207,H+18
6.030276173535133,7.0097198574589905,114.88096939610975,H+19
6.069355643400108,7.044353052421335,116.25112177856171,H+20
6.021807532044277,6.993472458134956,114.63332473950369,H+21
6.033613579523324,7.004807037599847,114.97028608839261,H+22
6.071877427223953,7.043017126633497,116.2263691750552,H+23
6.061557933380354,7.033166962785888,115.84692807872771,H+24
